Bench,Row,Column,Position,Plant,Inoc,Trait,Measurement
Left,5,L-D,L-D5,L-D5,Sterile + N,Avg_nod_mass,3.1925
Right,2,R-A,R-A2,R-A2,Sterile + N,Avg_nod_mass,1.814
Right,2,R-B,R-B2,R-B2,Sterile + N,Avg_nod_mass,2.623333333
Right,5,R-D,R-D5,R-D5,Sterile + N,Avg_nod_mass,3.743846154
Left,4,L-B,L-B4,L-B4,717A + N,Avg_nod_mass,3.032
Left,6,L-B,L-B6,L-B6,717A + N,Avg_nod_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Avg_nod_mass,3.818333333
Right,4,R-B,R-B4,R-B4,717A + N,Avg_nod_mass,4.693
Right,3,R-C,R-C3,R-C3,717A + N,Avg_nod_mass,2.82
Left,2,L-A,L-A2,L-A2,733B + N,Avg_nod_mass,5.170909091
Left,1,L-C,L-C1,L-C1,733B + N,Avg_nod_mass,6.964
Left,2,L-C,L-C2,L-C2,733B + N,Avg_nod_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Avg_nod_mass,6.965
Right,4,R-D,R-D4,R-D4,733B + N,Avg_nod_mass,2.015714286
Left,6,L-A,L-A6,L-A6,141,Avg_nod_mass,1.823846154
Left,3,L-D,L-D3,L-D3,141,Avg_nod_mass,8.77
Right,4,R-A,R-A4,R-A4,141,Avg_nod_mass,4.889090909
Right,2,R-C,R-C2,R-C2,141,Avg_nod_mass,5.02125
Right,3,R-D,R-D3,R-D3,141,Avg_nod_mass,0
Left,1,L-A,L-A1,L-A1,141+717A,Avg_nod_mass,4.015714286
Left,3,L-A,L-A3,L-A3,141+717A,Avg_nod_mass,5.688333333
Left,5,L-A,L-A5,L-A5,141+717A,Avg_nod_mass,3.815151515
Right,1,R-B,R-B1,R-B1,141+717A,Avg_nod_mass,0
Right,4,R-C,R-C4,R-C4,141+717A,Avg_nod_mass,4.511875
Left,2,L-D,L-D2,L-D2,141+733B,Avg_nod_mass,3.86
Left,4,L-D,L-D4,L-D4,141+733B,Avg_nod_mass,1.778
Right,1,R-A,R-A1,R-A1,141+733B,Avg_nod_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Avg_nod_mass,6.656
Right,1,R-D,R-D1,R-D1,141+733B,Avg_nod_mass,0.12
Left,4,L-A,L-A4,L-A4,225,Avg_nod_mass,3.523333333
Left,1,L-B,L-B1,L-B1,225,Avg_nod_mass,3.627948718
Left,6,L-C,L-C6,L-C6,225,Avg_nod_mass,4.7109375
Left,1,L-D,L-D1,L-D1,225,Avg_nod_mass,2.8403125
Right,6,R-A,R-A6,R-A6,225,Avg_nod_mass,3.333529412
Left,3,L-B,L-B3,L-B3,225+717A,Avg_nod_mass,4.092115385
Left,3,L-C,L-C3,L-C3,225+717A,Avg_nod_mass,4.66825
Left,4,L-C,L-C4,L-C4,225+717A,Avg_nod_mass,3.219830508
Right,6,R-B,R-B6,R-B6,225+717A,Avg_nod_mass,1.946976744
Right,5,R-C,R-C5,R-C5,225+717A,Avg_nod_mass,3.408571429
Left,2,L-B,L-B2,L-B2,225+733B,Avg_nod_mass,3.60027027
Right,3,R-A,R-A3,R-A3,225+733B,Avg_nod_mass,3.1025
Right,5,R-A,R-A5,R-A5,225+733B,Avg_nod_mass,2.498363636
Right,5,R-B,R-B5,R-B5,225+733B,Avg_nod_mass,2.639
Right,1,R-C,R-C1,R-C1,225+733B,Avg_nod_mass,3.288529412
Left,5,L-B,L-B5,L-B5,Sterile + N,Root_dry_mass,36.03
Left,5,L-D,L-D5,L-D5,Sterile + N,Root_dry_mass,99.91
Right,2,R-A,R-A2,R-A2,Sterile + N,Root_dry_mass,38.08
Right,2,R-B,R-B2,R-B2,Sterile + N,Root_dry_mass,19.82
Right,5,R-D,R-D5,R-D5,Sterile + N,Root_dry_mass,18.11
Left,4,L-B,L-B4,L-B4,717A + N,Root_dry_mass,50.67
Left,6,L-B,L-B6,L-B6,717A + N,Root_dry_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Root_dry_mass,26.73
Right,4,R-B,R-B4,R-B4,717A + N,Root_dry_mass,16.29
Right,3,R-C,R-C3,R-C3,717A + N,Root_dry_mass,12.93
Left,2,L-A,L-A2,L-A2,733B + N,Root_dry_mass,41.25
Left,1,L-C,L-C1,L-C1,733B + N,Root_dry_mass,39.12
Left,2,L-C,L-C2,L-C2,733B + N,Root_dry_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Root_dry_mass,13.03
Right,4,R-D,R-D4,R-D4,733B + N,Root_dry_mass,20.61
Left,6,L-A,L-A6,L-A6,141,Root_dry_mass,39.01
Left,3,L-D,L-D3,L-D3,141,Root_dry_mass,19.52
Right,4,R-A,R-A4,R-A4,141,Root_dry_mass,16.04
Right,2,R-C,R-C2,R-C2,141,Root_dry_mass,23.02
Right,3,R-D,R-D3,R-D3,141,Root_dry_mass,0
Left,1,L-A,L-A1,L-A1,141+717A,Root_dry_mass,9.51
Left,3,L-A,L-A3,L-A3,141+717A,Root_dry_mass,54.63
Left,5,L-A,L-A5,L-A5,141+717A,Root_dry_mass,23.38
Right,1,R-B,R-B1,R-B1,141+717A,Root_dry_mass,6.78
Right,4,R-C,R-C4,R-C4,141+717A,Root_dry_mass,25.19
Left,2,L-D,L-D2,L-D2,141+733B,Root_dry_mass,21.47
Left,4,L-D,L-D4,L-D4,141+733B,Root_dry_mass,23.15
Right,1,R-A,R-A1,R-A1,141+733B,Root_dry_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Root_dry_mass,26.25
Right,1,R-D,R-D1,R-D1,141+733B,Root_dry_mass,0
Left,4,L-A,L-A4,L-A4,225,Root_dry_mass,64.32
Left,1,L-B,L-B1,L-B1,225,Root_dry_mass,54.69
Left,6,L-C,L-C6,L-C6,225,Root_dry_mass,56.28
Left,1,L-D,L-D1,L-D1,225,Root_dry_mass,40.44
Right,6,R-A,R-A6,R-A6,225,Root_dry_mass,21.91
