Bench,Row,Column,Position,Plant,Inoc,Trait,Measurement
Left,1,L-C,L-C1,L-C1,733B + N,Shoot_mass_per_nod_mass,1.369758759
Left,2,L-C,L-C2,L-C2,733B + N,Shoot_mass_per_nod_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Shoot_mass_per_nod_mass,3.610193826
Right,4,R-D,R-D4,R-D4,733B + N,Shoot_mass_per_nod_mass,1.513111269
Left,6,L-A,L-A6,L-A6,141,Shoot_mass_per_nod_mass,2.838464783
Left,3,L-D,L-D3,L-D3,141,Shoot_mass_per_nod_mass,1.671892816
Right,4,R-A,R-A4,R-A4,141,Shoot_mass_per_nod_mass,1.128672369
Right,2,R-C,R-C2,R-C2,141,Shoot_mass_per_nod_mass,1.646751307
Right,3,R-D,R-D3,R-D3,141,Shoot_mass_per_nod_mass,NA
Left,1,L-A,L-A1,L-A1,141+717A,Shoot_mass_per_nod_mass,1.032017076
Left,3,L-A,L-A3,L-A3,141+717A,Shoot_mass_per_nod_mass,0.86736986
Left,5,L-A,L-A5,L-A5,141+717A,Shoot_mass_per_nod_mass,0.599761716
Right,1,R-B,R-B1,R-B1,141+717A,Shoot_mass_per_nod_mass,NA
Right,4,R-C,R-C4,R-C4,141+717A,Shoot_mass_per_nod_mass,0.394237429
Left,2,L-D,L-D2,L-D2,141+733B,Shoot_mass_per_nod_mass,1.025906736
Left,4,L-D,L-D4,L-D4,141+733B,Shoot_mass_per_nod_mass,5.161979753
Right,1,R-A,R-A1,R-A1,141+733B,Shoot_mass_per_nod_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Shoot_mass_per_nod_mass,2.030348558
Right,1,R-D,R-D1,R-D1,141+733B,Shoot_mass_per_nod_mass,0
Left,4,L-A,L-A4,L-A4,225,Shoot_mass_per_nod_mass,0.378744875
Left,1,L-B,L-B1,L-B1,225,Shoot_mass_per_nod_mass,0.458618984
Left,6,L-C,L-C6,L-C6,225,Shoot_mass_per_nod_mass,0.36238806
Left,1,L-D,L-D1,L-D1,225,Shoot_mass_per_nod_mass,0.704367917
Right,6,R-A,R-A6,R-A6,225,Shoot_mass_per_nod_mass,1.052938062
Left,3,L-B,L-B3,L-B3,225+717A,Shoot_mass_per_nod_mass,0.432116171
Left,3,L-C,L-C3,L-C3,225+717A,Shoot_mass_per_nod_mass,0.369249719
Left,4,L-C,L-C4,L-C4,225+717A,Shoot_mass_per_nod_mass,0.47107438
Right,6,R-B,R-B6,R-B6,225+717A,Shoot_mass_per_nod_mass,0.556378404
Right,5,R-C,R-C5,R-C5,225+717A,Shoot_mass_per_nod_mass,0.655176027
Left,2,L-B,L-B2,L-B2,225+733B,Shoot_mass_per_nod_mass,0.256549809
Right,3,R-A,R-A3,R-A3,225+733B,Shoot_mass_per_nod_mass,0.397626548
Right,5,R-A,R-A5,R-A5,225+733B,Shoot_mass_per_nod_mass,0.331053053
Right,5,R-B,R-B5,R-B5,225+733B,Shoot_mass_per_nod_mass,0.395528609
Right,1,R-C,R-C1,R-C1,225+733B,Shoot_mass_per_nod_mass,0.492531974
Left,5,L-B,L-B5,L-B5,Sterile + N,Nod_mass_per_root_mass,1.293086297
Left,5,L-D,L-D5,L-D5,Sterile + N,Nod_mass_per_root_mass,0.370870544
Right,2,R-A,R-A2,R-A2,Sterile + N,Nod_mass_per_root_mass,0.217037569
Right,2,R-B,R-B2,R-B2,Sterile + N,Nod_mass_per_root_mass,0.272130014
Right,5,R-D,R-D5,R-D5,Sterile + N,Nod_mass_per_root_mass,0.928285333
Left,4,L-B,L-B4,L-B4,717A + N,Nod_mass_per_root_mass,0.349590684
Left,6,L-B,L-B6,L-B6,717A + N,Nod_mass_per_root_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Nod_mass_per_root_mass,0.395
Right,4,R-B,R-B4,R-B4,717A + N,Nod_mass_per_root_mass,0.67167597
Right,3,R-C,R-C3,R-C3,717A + N,Nod_mass_per_root_mass,0.403073075
Left,2,L-A,L-A2,L-A2,733B + N,Nod_mass_per_root_mass,0.824586837
Left,1,L-C,L-C1,L-C1,733B + N,Nod_mass_per_root_mass,0.987941552
Left,2,L-C,L-C2,L-C2,733B + N,Nod_mass_per_root_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Nod_mass_per_root_mass,0.346431236
Right,4,R-D,R-D4,R-D4,733B + N,Nod_mass_per_root_mass,1.00094585
Left,6,L-A,L-A6,L-A6,141,Nod_mass_per_root_mass,0.35261749
Left,3,L-D,L-D3,L-D3,141,Nod_mass_per_root_mass,0.341245136
Right,4,R-A,R-A4,R-A4,141,Nod_mass_per_root_mass,0.827511925
Right,2,R-C,R-C2,R-C2,141,Nod_mass_per_root_mass,0.64189837
Right,3,R-D,R-D3,R-D3,141,Nod_mass_per_root_mass,0
Left,1,L-A,L-A1,L-A1,141+717A,Nod_mass_per_root_mass,2.020848311
Left,3,L-A,L-A3,L-A3,141+717A,Nod_mass_per_root_mass,1.387962586
Left,5,L-A,L-A5,L-A5,141+717A,Nod_mass_per_root_mass,3.140434023
Right,1,R-B,R-B1,R-B1,141+717A,Nod_mass_per_root_mass,0
Right,4,R-C,R-C4,R-C4,141+717A,Nod_mass_per_root_mass,1.100960805
Left,2,L-D,L-D2,L-D2,141+733B,Nod_mass_per_root_mass,1.10468444
Left,4,L-D,L-D4,L-D4,141+733B,Nod_mass_per_root_mass,0.14943688
Right,1,R-A,R-A1,R-A1,141+733B,Nod_mass_per_root_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Nod_mass_per_root_mass,0.545663224
Right,1,R-D,R-D1,R-D1,141+733B,Nod_mass_per_root_mass,0.016053512
Left,4,L-A,L-A4,L-A4,225,Nod_mass_per_root_mass,1.138293099
Left,1,L-B,L-B1,L-B1,225,Nod_mass_per_root_mass,1.871560847
Left,6,L-C,L-C6,L-C6,225,Nod_mass_per_root_mass,1.703582326
Left,1,L-D,L-D1,L-D1,225,Nod_mass_per_root_mass,1.288671487
Right,6,R-A,R-A6,R-A6,225,Nod_mass_per_root_mass,0.988660154
Left,3,L-B,L-B3,L-B3,225+717A,Nod_mass_per_root_mass,2.499882519
Left,3,L-C,L-C3,L-C3,225+717A,Nod_mass_per_root_mass,1.673507797
Left,4,L-C,L-C4,L-C4,225+717A,Nod_mass_per_root_mass,1.714375959
Right,6,R-B,R-B6,R-B6,225+717A,Nod_mass_per_root_mass,1.023346779
Right,5,R-C,R-C5,R-C5,225+717A,Nod_mass_per_root_mass,1.418971157
Left,2,L-B,L-B2,L-B2,225+733B,Nod_mass_per_root_mass,2.913604549
Right,3,R-A,R-A3,R-A3,225+733B,Nod_mass_per_root_mass,2.075250836
Right,5,R-A,R-A5,R-A5,225+733B,Nod_mass_per_root_mass,1.801153493
Right,5,R-B,R-B5,R-B5,225+733B,Nod_mass_per_root_mass,2.499526425
Right,1,R-C,R-C1,R-C1,225+733B,Nod_mass_per_root_mass,1.982095373
